title,genres,actors,directors,synopsis,rating
Sonic the Hedgehog 3,"Action, Science Fiction, Comedy, Family","Jim Carrey, Ben Schwartz, Keanu Reeves",Jeff Fowler,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",7.593
Mufasa: The Lion King,"Adventure, Family, Animation","Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone",Barry Jenkins,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",7.4
Gladiator II,"Action, Adventure, Drama","Paul Mescal, Denzel Washington, Pedro Pascal",Ridley Scott,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",6.756
Venom: The Last Dance,"Action, Science Fiction, Adventure","Tom Hardy, Chiwetel Ejiofor, Juno Temple",Kelly Marcel,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",6.8
Moana 2,"Animation, Adventure, Family, Comedy","Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung","David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",7.0
Number 24,"War, History, Drama","Sjur Vatne Brean, Erik Hivju, Lisa Loven Kongsli",John Andreas Andersen,"On the brink of the Second World War, a young Norwegian man's drive to resist the Nazis sets a new course for his future – and the future of his country.",7.424
Wicked,"Drama, Romance, Fantasy","Cynthia Erivo, Ariana Grande, Jeff Goldblum",Jon M. Chu,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",7.1
Kraven the Hunter,"Action, Adventure, Thriller","Aaron Taylor-Johnson, Ariana DeBose, Fred Hechinger",J.C. Chandor,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",6.195
Werewolves,"Action, Horror, Thriller","Frank Grillo, Katrina Law, Ilfenesh Hadera",Steven C. Miller,"A year after a supermoon's light activated a dormant gene, transforming humans into bloodthirsty werewolves and causing nearly a billion deaths, the nightmare resurfaces as the supermoon rises again. Two scientists attempt to stop the mutation but fail and must now struggle to reach one of their family homes.",6.511
Red One,"Action, Fantasy, Comedy","Dwayne Johnson, Chris Evans, Lucy Liu",Jake Kasdan,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",7.076
The Lord of the Rings: The War of the Rohirrim,"Animation, Fantasy, Action, Adventure","Brian Cox, Gaia Wise, Luke Pasqualino",Kenji Kamiyama,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",6.5
Your Fault,"Romance, Drama","Nicole Wallace, Gabriel Guevara, Marta Hazas",Domingo González,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,7.15
Solo Leveling -ReAwakening-,"Action, Adventure, Fantasy, Animation","Taito Ban, Genta Nakamura, Haruna Mikawa",Shunsuke Nakashige,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly  ...[Truncated]
Elevation,"Action, Science Fiction, Thriller","Anthony Mackie, Morena Baccarin, Maddie Hasson",George Nolfi,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,6.261
Dirty Angels,"Action, Drama, Thriller","Eva Green, Maria Bakalova, Ruby Rose",Martin Campbell,"During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",6.4
Eye for an Eye 2,"Action, Drama","Xie Miao, Yang Enyou, Huang Tao",Yang Bingjia,"The blind swordsman, skilled in martial arts, named Cheng Xiazi (Xie Miao), accidentally saves Zhang Xiaoyu (Yang Enyou), who has suffered from the destruction of his family. Under the persuasion of the orphan Xiaoyu, Cheng reluctantly keeps him by his side and teaches him skills. Xiaoyu also waits for the opportunity to seek revenge.",7.0
The Substance,"Horror, Science Fiction","Demi Moore, Margaret Qualley, Dennis Quaid",Coralie Fargeat,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",7.127
Flow,"Animation, Fantasy, Adventure",,Gints Zilbalodis,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",8.4
Carry-On,"Thriller, Action","Taron Egerton, Jason Bateman, Sofia Carson",Jaume Collet-Serra,An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,6.928
My Fault,"Romance, Drama","Nicole Wallace, Gabriel Guevara, Marta Hazas",Domingo González,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",7.879
Deadpool & Wolverine,"Action, Comedy, Science Fiction","Ryan Reynolds, Hugh Jackman, Emma Corrin",Shawn Levy,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",7.6
Nosferatu,"Drama, Fantasy, Horror","Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård",Robert Eggers,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",6.72
Making Squid Game: The Challenge,Documentary,"Nicola Brown, Rikki Finlay, Tim Harcourt",,"Go behind the scenes and witness how the ""Squid Game""-inspired reality show transformed from a scripted drama to a cutthroat, nail-biting competition.",6.6
The Wild Robot,"Animation, Action, Science Fiction, Family","Lupita Nyong'o, Pedro Pascal, Kit Connor",Chris Sanders,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",8.366
Absolution,"Action, Crime, Thriller","Liam Neeson, Ron Perlman, Yolonda Ross",Hans Petter Moland,"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn't done with him and won't loosen their grip willingly.",5.8
Paprika,Drama,"Debora Caprioglio, Stéphane Ferrara, Martine Brochard",Tinto Brass,"Mimma starts working in Madame Colette's brothel to help her boyfriend financially. There she is rechristened "Paprika," and falls in love with her first client, naval officer Franco. Despite this attraction, she begins her climb through the sex trade, residing in Italy's most illustrious brothels.",6.971
Heretic,"Horror, Thriller","Hugh Grant, Sophie Thatcher, Chloe East","Scott Beck, Bryan Woods","Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",7.2
Ferry 2,"Crime, Thriller, Action","Frank Lammers, Aiko Beemsterboer, Tobias Kersloot",Wannes Destoop,"After losing his drug empire, Ferry Bouman has found a measure of peace away from Brabant's criminal underworld — until his past catches up to him.",5.6
Despicable Me 4,"Animation, Family, Comedy, Science Fiction","Steve Carell, Kristen Wiig, Will Ferrell",Chris Renaud,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",7.1
Saturday Night's Main Event XXXVII,Action,"Cody Rhodes, Kevin Steen, Chelsea Cardona",,"Undisputed WWE Champion Cody Rhodes will go head-to-head with Kevin Owens as Saturday Night's Main Event returns to NBC. Plus World Tag Team Champion Finn Bálor will face ""The Ring General"" Gunther for the World Heavyweight Title. The Women's World Championship will be on the line when Liv Morgan defends her title against IYO SKY.",7.0
Inside Out 2,"Animation, Adventure, Comedy, Family","Amy Poehler, Maya Hawke, Kensington Tallman",Kelsey Mann,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who've long been running a successful operation by all accounts, aren't sure how to feel when Anxiety shows up. And it looks like she's not alone.",7.574
Apocalypse Z: The Beginning of the End,"Drama, Action, Horror","Francisco Ortiz, José María Yázpik, Berta Vázquez",Carles Torrens,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",6.8
Squid Game: Fireplace,,,,"Come share a toast in the Front Man's lair — but tread carefully, for you're playing with fire.",6.0
Alien: Romulus,"Horror, Science Fiction","Cailee Spaeny, David Jonsson, Archie Renaux",Fede Álvarez,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",7.227
Wallace & Gromit: Vengeance Most Fowl,"Animation, Comedy, Family, Adventure","Ben Whitehead, Peter Kay, Lauren Patel","Nick Park, Merlin Crossingham","Gromit's concern that Wallace is becoming too dependent on his inventions proves justified, when Wallace invents a "smart" gnome that seems to develop a mind of its own. When it emerges that a vengeful figure from the past might be masterminding things, it falls to Gromit to battle sinister forces and save his master… or Wal ...[Truncated]
Den of Thieves 2: Pantera,"Action, Crime, Thriller","Gerard Butler, O'Shea Jackson Jr., Evin Ahmad",Christian Gudegast,"Big Nick is back on the hunt in Europe and closing in on Donnie, who is embroiled in the treacherous and unpredictable world of diamond thieves and the infamous Panther mafia, as they plot a massive heist of the world's largest diamond exchange.",6.4
Anora,"Comedy, Drama, Romance","Mikey Madison, Mark Eydelshteyn, Yura Borisov",Sean Baker,"Anora, a young sex worker from Brooklyn, gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. When the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.",7.3
The Best Christmas Pageant Ever,"Comedy, Family, Drama","Judy Greer, Pete Holmes, Molly Belle Wright",Dallas Jenkins,"The Herdmans are absolutely the worst kids in the history of the world. They lie, they steal, they bully… and they've hijacked the town Christmas pageant. As the rowdy family attempts to put on a play about the birth of Jesus, they accidentally discover the true meaning of Christmas.",7.2
Conclave,"Drama, Thriller","Ralph Fiennes, Stanley Tucci, John Lithgow",Edward Berger,"When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a conspiracy that could shake the very foundation of the Catholic Church.",7.3
A Complete Unknown,"Biography, Drama, Music","Timothée Chalamet, Edward Norton, Elle Fanning",James Mangold,"In 1961, a 19-year-old from Minnesota arrives in New York City with his guitar and revolutionary talent, destined to change the course of American music.",7.0
It Ends with Us,"Romance, Drama","Blake Lively, Justin Baldoni, Brandon Sklenar",Justin Baldoni,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",6.8
The Brutalist,"Drama","Adrien Brody, Felicity Jones, Guy Pearce",Brady Corbet,"Escaping post-war Europe, visionary architect László Toth arrives in America to rebuild his life, his work, and his marriage to his wife Margit after being forced apart during wartime by shifting borders and regimes. On his own in a strange new country, László settles in Pennsylvania, where the wealthy and prominent Harrison Lee Beck recognizes his talent for building. But power and legacy come at a heavy cost.",8.0
Sonic the Hedgehog 2,"Adventure, Family, Comedy, Science Fiction","Ben Schwartz, James Marsden, Tika Sumpter",Jeff Fowler,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",7.5
Babygirl,"Drama, Thriller","Nicole Kidman, Harris Dickinson, Antonio Banderas",Halina Reijn,"A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.",6.4
The Piano Lesson,"Drama","Samuel L. Jackson, John David Washington, Ray Fisher",Malcolm Washington,A battle is brewing in the Charles family. At the center stands a prized heirloom piano tearing two siblings apart. On one side, a brother plans to build the family fortune by selling it. On the other, a sister will go to extraordinary lengths to keep it and preserve the family legacy. Their uncle tries to mediate, but even he can't hold back the ghosts of the past.,6.5
Wicked Little Letters,"Comedy, Crime, Drama","Olivia Colman, Jessie Buckley, Anjana Vasan",Thea Sharrock,"Based on a true story. Fiery, letter-writing spinster Edith Swan and her sexually liberated neighbor Rose Gooding, battle censorious, hyper-religious firebrand Prudence Campbell over the matter of some scandalous correspondence. Between vitriol-fueled characters studies and hilariously expletive-filled letters flying back and forth, "Wicked Little Letters" revels in the importance of the written word and champions the cause that most letters of any kind - but especially wicked ones - should be published, sent, and read.",7.0
Emilia Pérez,"Drama, Crime, Comedy, Music","Karla Sofía Gascón, Zoe Saldaña, Selena Gomez",Jacques Audiard,"Rita, an underrated lawyer working for a large law firm more interested in getting criminals out of jail than bringing them to justice, is hired by the leader of a criminal organization.",6.8
Azrael,"Action, Horror, Thriller","Samara Weaving, Vic Carmen Sonne, Katariina Unt",E.L. Katz,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",6.1
Strange Darling,"Horror, Thriller","Willa Fitzgerald, Kyle Gallner, Madisen Beaty",JT Mollner,"Nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.",7.3
Deadpool,"Action, Adventure, Comedy","Ryan Reynolds, Morena Baccarin, Ed Skrein",Tim Miller,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",7.6
